model_name,first_12_RMSE,first_12_MAE,first_12_MAPE,second_12_RMSE,second_12_MAE,second_12_MAPE,RMSE,MAE,MAPE
NaiveForecaster,0.9499509611597503,0.7238141666666666,34.032236499687436,,,,0.9499509611597503,0.7238141666666666,34.032236499687436
ThetaForecaster,0.7939707206855546,0.6783399064672948,29.87009913248835,,,,0.7939707206855546,0.6783399064672948,29.87009913248835
ExponentialSmoothing,0.8526590325108073,0.7488480004943234,33.710999535864744,,,,0.8526590325108073,0.7488480004943234,33.710999535864744
TBATS,0.751838182402934,0.623069703491349,26.976191036833974,,,,0.751838182402934,0.623069703491349,26.976191036833974
ARIMA,0.6311058828200174,0.5545090170532415,24.17344314771412,,,,0.6311058828200174,0.5545090170532415,24.17344314771412
SARIMAX,0.6999976582604318,0.5670244963403325,25.189914382654532,,,,0.6999976582604318,0.5670244963403325,25.189914382654532
Prophet,0.7810213558859336,0.748381123549533,34.65548655344522,,,,0.7810213558859336,0.748381123549533,34.65548655344522
SimpleRNN,0.6899103438753568,0.6441143841743469,29.390916777161657,,,,0.6899103438753568,0.6441143841743469,29.390916777161657
SimpleLSTM,0.6887133982074799,0.6426578254699706,29.31656093911152,,,,0.6887133982074799,0.6426578254699706,29.31656093911152
SimpleGRU,0.6904677447659751,0.6443694125811258,29.394193519595717,,,,0.6904677447659751,0.6443694125811258,29.394193519595717
SimpleTransformer,0.6869632121025212,0.6408384532928466,29.181615533602578,,,,0.6869632121025212,0.6408384532928466,29.181615533602578
