model_name,first_12_RMSE,first_12_MAE,first_12_MAPE,second_12_RMSE,second_12_MAE,second_12_MAPE,RMSE,MAE,MAPE
NaiveForecaster,0.5142460737169835,0.4077383333333333,16.463302041502573,1.0595942060485544,0.8983974999999997,40.87173519358991,0.832823182261697,0.6530679166666665,28.667518617546246
ThetaForecaster,0.6294159154541079,0.5649889661484878,23.599569049191775,0.9938739824367956,0.901074000066107,41.70031653797383,0.8318503133351903,0.7330314831072974,32.6499427935828
ExponentialSmoothing,0.616761628796112,0.5709009410123768,23.87267017068159,1.0275587277989147,0.9280526527443764,43.20738785862675,0.8474290075961989,0.7494767968783766,33.540029014654166
TBATS,0.5549104867038451,0.43116648197846064,14.88200611871122,0.7597683279681998,0.5123880556757073,18.89813046995329,0.6652719595915239,0.47177726882708404,16.890068294332252
ARIMA,0.5505156974238918,0.46539060893164114,19.466486179367042,0.6857592097174648,0.6394734876304946,29.101653923669467,0.6218252273840439,0.552432048281068,24.284070051518256
SARIMAX,0.5505156974238918,0.46539060893164114,19.466486179367042,0.6857592097174648,0.6394734876304946,29.101653923669467,0.6218252273840439,0.552432048281068,24.284070051518256
Prophet,0.7930528047577498,0.663550201879953,29.286646665232592,1.1151234760345419,0.9811101994917827,47.87220705333111,0.9675828434654815,0.8223302006858679,38.57942685928184
SimpleRNN,0.6035454000947814,0.5208759005928041,21.939838216027784,0.7121703213151893,0.6674973459243775,30.74333099110214,0.6600960598798291,0.5941866232585907,26.341584603564964
SimpleLSTM,0.6076624178941689,0.5251896675491334,22.106115883074118,0.709145268943473,0.6644643238385518,30.56557373737265,0.6603562018281869,0.5948269956938426,26.33584481022338
SimpleGRU,0.6047200265151133,0.5226555760765077,21.982207307638504,0.7104947869273971,0.6658220779101053,30.645188044636246,0.6597306847189415,0.5942388269933064,26.313697676137377
SimpleTransformer,0.6013223225765015,0.4979433910115561,19.78023404886395,0.6428634289427659,0.5807476730346679,25.66141303759145,0.6224395247334671,0.539345532023112,22.7208235432277
