model_name,first_12_RMSE,first_12_MAE,first_12_MAPE,second_12_RMSE,second_12_MAE,second_12_MAPE,RMSE,MAE,MAPE
NaiveForecaster,0.5467745064009478,0.45362500000000017,16.159674049527876,,,,0.5467745064009478,0.45362500000000017,16.159674049527876
ThetaForecaster,0.39086458714309774,0.31117069270258946,10.925360435881208,,,,0.39086458714309774,0.31117069270258946,10.925360435881208
ExponentialSmoothing,0.40492816265052284,0.3436892589545839,12.344394170042976,,,,0.40492816265052284,0.3436892589545839,12.344394170042976
TBATS,0.680028537086353,0.595940525272641,21.66167423741106,,,,0.680028537086353,0.595940525272641,21.66167423741106
ARIMA,0.40583300479636336,0.3466135794697598,12.47792265309961,,,,0.40583300479636336,0.3466135794697598,12.47792265309961
SARIMAX,0.20284907720499415,0.18801950858134608,6.994331563771941,,,,0.20284907720499415,0.18801950858134608,6.994331563771941
Prophet,0.45899526695219856,0.41620136704925215,17.612504036820788,,,,0.45899526695219856,0.41620136704925215,17.612504036820788
SimpleRNN,0.3182739473427437,0.31817438072204585,12.547151165938619,,,,0.3182739473427437,0.31817438072204585,12.547151165938619
SimpleLSTM,0.36599036269244395,0.36490036911010737,14.609520594390963,,,,0.36599036269244395,0.36490036911010737,14.609520594390963
SimpleGRU,0.3542250026564583,0.3533988184356689,14.130464576077738,,,,0.3542250026564583,0.3533988184356689,14.130464576077738
SimpleTransformer,0.38713314061222454,0.38393999999999995,15.489001011956038,,,,0.38713314061222454,0.38393999999999995,15.489001011956038
